x,dice,rmse
0,0.85259,0.1151717055
1,0,0.6901785938
2,0.89758,0.1267940786
3,0.82391,0.1125165944
4,0.86072,0.1249906069
5,0.85547,0.1103874959
6,0,0.8700247977
7,0.89817,0.2003105979
8,0.80793,0.344638429
9,0.8558,0.0748941713
10,0,0.6052901836
11,0.85673,0.186408837
12,0.82792,0.1197304812
13,0.89672,0.0766725947
14,0.83993,0.0720386744
15,0.85377,0.1594820029
16,0.85054,0.0699596724
17,0.86688,0.0839616261
18,0,0.7612403877
19,0.86914,0.2139869248
20,0.8886,0.0793026576
21,0.8027,0.2193973399
22,0.86087,0.0951331313
23,0.87464,0.0853392781
24,0.85714,0.3096460687
25,0.87006,0.1055531899
26,0,0.9029131077
27,0.85753,0.1047015505
28,0.88308,0.1931468076
29,0.83333,0.1519424893
30,0,0.5397389976
31,0.79288,0.4655962728
32,0.69198,0.6305137389
33,0.68226,0.2840718383
34,0.8795,0.1120156301
35,0.826,0.0935550936
36,0.83516,0.6723943591
37,0.85542,0.1016206197
38,0.82823,0.4570548305
39,0.87126,0.335095058
40,0.86446,0.1419732986
41,0.8519,0.2853242492
42,0.88338,0.1403952609
43,0.85899,0.0910001753
44,0.87222,0.0833855171
45,0.75988,0.6465445984
46,0.88679,0.1419232022
47,0.89816,0.1086591689
48,0.82683,0.0693835634
49,0.8836,0.1758885855
50,0.86899,0.0841870601
51,0.87306,0.0984144478
52,0.81595,0.4772436941
53,0.84783,0.0759461964
54,0.82603,0.6352228039
55,0.8414,0.08095584
56,0.88647,0.0692332741
57,0.84084,0.109360519
58,0.84438,0.0563334419
59,0.85014,0.1241640157
60,0.88,0.0799539113
61,0,0.4531473086
62,0.88988,0.1808481327
63,0.90316,0.0692583223
64,0.88048,0.0806803096
65,0.89431,0.0765974501
66,0.8782,0.1268191268
67,0,0.7370939058
68,0.84412,0.5029682138
69,0,0.6375021917
70,0.85819,0.0943315883
71,0.85675,0.1136437642
72,0.85515,0.1447286026
73,0.83414,0.1010946071
74,0.83748,0.1012448964
75,0,0.5459259074
76,0,0.8345064249
77,0.82873,0.1292488039
78,0,0.8711770158
79,0.89004,0.0714375172
80,0.88086,0.2096034867
81,0.87201,0.1402449716
82,0.82713,0.6250281792
83,0.89044,0.0927034541
84,0.85464,0.4884903439
85,0.88117,0.1063797811
86,0.84884,0.1472835208
87,0.86296,0.0822082509
88,0.8843,0.1745359818
89,0.89218,0.1044761165
90,0.82683,0.1595571475
91,0.84452,0.082909601
92,0,0.6279588207
93,0.86698,0.1157728628
94,0.82912,0.0987400746
95,0.84225,0.7985622323
96,0,0.5316484232
97,0.85678,0.0748190266
98,0,0.7005736042
99,0.84211,0.2341006437
100,0.87255,0.0686822133
101,0.78571,0.3134283496
102,0.84653,0.1582796884
103,0.83871,0.0968113619
104,0.8717,0.1662199734
105,0.88283,0.0769230769
106,0.8612,0.1044260201
107,0.88623,0.102347018
108,0.87558,0.0673045613
109,0,1
110,0,0.7389975703
111,0.84795,0.0954337099
112,0.81325,0.1316784811
113,0.8469,0.291861834
114,0.85582,0.0807805025
115,0.68831,0.1741602585
116,0.84533,0.2743280816
117,0.89109,0.1340580618
118,0.89318,0.0684567793
119,0.88641,0.0648999324
120,0.87971,0.1152969466
121,0.84566,0.111890389
122,0.87637,0.1162738271
123,0.85535,0.0641484858
124,0,0.8122636074
125,0.80203,0.4311048769
126,0.85405,0.0721889638
127,0.8614,0.1198056258
128,0.8363,0.2877038299
129,0,0.5792400371
130,0,0.7063847907
131,0,0.995516369
132,0.80431,0.0911003682
133,0.87816,0.1714049545
134,0.88917,0.0715627583
135,0.83142,0.1338075796
136,0.85752,0.1453297598
137,0.89046,0.1205570724
138,0.87776,0.1694261453
139,0.85882,0.1066803597
140,0.85377,0.1594820029
141,0.83566,0.1284723092
142,0.84754,0.2794128698
143,0.86387,0.1570523257
144,0.85669,0.2696941613
